timestamp,umidade_solo,ph_solo,nitrogenio,fosforo,potassio,temperatura,chuva_mm,irrigacao_ativa
2025-10-01 00:00:00,74.6,6.7,1,0,1,15,5.6,0
2025-10-01 01:00:00,77.9,5.8,1,1,1,15,4.8,0
2025-10-01 02:00:00,75.6,5.8,0,0,1,15,0.0,0
2025-10-01 03:00:00,68.0,5.9,1,0,1,15,0.0,0
2025-10-01 04:00:00,67.8,7.0,1,1,0,19.2,0.0,0
2025-10-01 05:00:00,67.5,6.6,1,1,1,20.4,0.0,0
2025-10-01 06:00:00,60.0,6.1,1,1,1,20.3,0.0,0
2025-10-01 07:00:00,71.3,6.6,1,1,0,22.9,0.0,0
2025-10-01 08:00:00,70.7,6.6,1,0,0,24.7,0.0,0
2025-10-01 09:00:00,52.1,6.2,1,1,0,28.8,0.0,1
2025-10-01 10:00:00,60.8,6.3,0,1,1,30.4,0.0,0
2025-10-01 11:00:00,55.8,6.5,0,1,1,28.7,0.0,1
2025-10-01 12:00:00,50.5,5.9,1,1,0,32.0,0.0,0
2025-10-01 13:00:00,77.5,6.4,0,0,1,29.4,7.0,0
2025-10-01 14:00:00,59.4,6.1,1,1,1,29.8,0.0,1
2025-10-01 15:00:00,66.6,6.1,1,1,0,27.5,0.0,0
2025-10-01 16:00:00,62.8,6.5,1,0,1,27.5,0.0,0
2025-10-01 17:00:00,54.4,6.2,1,0,0,25.2,0.0,0
2025-10-01 18:00:00,56.9,6.9,0,1,1,23.3,0.0,0
2025-10-01 19:00:00,72.3,6.0,1,1,1,18.2,0.0,0
2025-10-01 20:00:00,62.4,6.4,1,1,1,19.5,0.0,0
2025-10-01 21:00:00,67.0,6.4,1,1,1,18.3,0.0,0
2025-10-01 22:00:00,65.8,5.9,1,1,0,15.4,0.0,0
2025-10-01 23:00:00,80.4,6.1,1,0,1,15.7,5.1,0
2025-10-02 00:00:00,75.5,6.0,1,1,1,15,0.0,0
2025-10-02 01:00:00,73.4,7.0,1,1,1,15,0.0,0
2025-10-02 02:00:00,64.4,6.3,1,1,1,16.5,0.0,0
2025-10-02 03:00:00,74.0,6.5,1,0,0,18.0,0.0,0
2025-10-02 04:00:00,72.3,6.0,1,1,1,19.9,0.0,0
2025-10-02 05:00:00,75.8,6.1,0,1,1,18.2,0.0,0
